iter,loss
0,0.45437258
1,0.2709382
2,0.2107192
3,0.21599619
4,0.24337351
5,0.27590832
6,0.2865899
7,0.2804464
8,0.2614965
9,0.23607267
10,0.21316533
11,0.19500862
12,0.18316403
13,0.17675725
14,0.17387484
15,0.1733188
16,0.17353043
17,0.17329222
18,0.17326143
19,0.1737758
20,0.17479345
21,0.17632791
22,0.17887048
23,0.18395224
24,0.18872963
25,0.19189526
26,0.19391455
27,0.19349025
28,0.19192967
29,0.18964262
30,0.18661532
31,0.18294048
32,0.17971343
33,0.17770824
34,0.17555027
35,0.17428468
36,0.17436516
37,0.17451735
38,0.17550504
39,0.17647593
40,0.17738464
41,0.17799525
42,0.1785039
43,0.17873661
44,0.17762531
45,0.17553681
46,0.1722359
47,0.16864504
48,0.16493537
49,0.16197962
50,0.15922534
51,0.15716766
52,0.1562977
53,0.1560025
54,0.15599635
55,0.15668806
56,0.15679805
57,0.15683888
58,0.15682346
59,0.15559386
60,0.15429485
61,0.15286924
62,0.15167047
63,0.15084447
64,0.15032403
65,0.15008193
66,0.1500558
67,0.14971206
68,0.14938949
69,0.14935617
70,0.14835578
71,0.14778925
72,0.14732489
73,0.14698252
74,0.14715174
75,0.14730996
76,0.14736097
77,0.14700963
78,0.14734836
79,0.14624219
80,0.14556476
81,0.14469336
82,0.1449508
83,0.1450842
84,0.14460517
85,0.14533359
86,0.14549549
87,0.14532967
88,0.14514135
89,0.14354837
90,0.14223965
91,0.14101209
92,0.14101106
93,0.14087147
94,0.14040028
95,0.14097673
96,0.13880858
97,0.13850468
98,0.13615538
99,0.13676406
100,0.13544643
101,0.1371004
102,0.13504487
103,0.13503215
104,0.13416263
105,0.13328442
106,0.13337462
107,0.13281794
108,0.13306592
109,0.13093692
110,0.1307708
111,0.13043135
112,0.12910126
113,0.12887675
114,0.12858835
115,0.12820074
116,0.12737459
117,0.12685223
118,0.1265726
119,0.12587255
120,0.12528604
121,0.124736026
122,0.12420168
123,0.123915635
124,0.12347716
125,0.12299921
126,0.12239706
127,0.122174904
128,0.12183941
129,0.121258564
130,0.12058292
131,0.119875
132,0.119314305
133,0.11884941
134,0.11820027
135,0.11769302
136,0.11714378
137,0.116788484
138,0.1164465
139,0.116292976
140,0.11607098
141,0.115739524
142,0.11555688
143,0.11552311
144,0.11540247
145,0.115512826
146,0.115521476
147,0.11542542
148,0.115339175
149,0.11523721
150,0.115103014
151,0.11514564
152,0.11512373
153,0.115092605
154,0.11497762
155,0.115059115
156,0.11525009
157,0.1153908
158,0.11532417
159,0.11546466
160,0.115504615
161,0.11549475
162,0.11544905
163,0.115413405
164,0.11535771
165,0.11532399
166,0.11526822
167,0.11534281
168,0.115406126
169,0.115443915
170,0.11548913
171,0.115622275
172,0.1155359
173,0.11560608
174,0.11560955
175,0.115580656
176,0.11549067
177,0.11534056
178,0.11520997
179,0.11514474
180,0.11495986
181,0.114774734
182,0.11461913
183,0.114580095
184,0.11428503
185,0.11399787
186,0.11379773
187,0.1136129
188,0.11334241
189,0.113150366
190,0.11306835
191,0.11303541
192,0.11317352
193,0.1132716
194,0.11328734
195,0.113374256
196,0.11340752
197,0.11353411
198,0.1135799
199,0.1136308
